"x","y","frp_value","cofire_value","co2fire_value","pm2p5fire_value","time","country","province","amphoe"
98.8500033516233,18.6499993672564,0.0383562818169594,3.67889629870888e-09,5.8026511595699e-08,3.27080196260709e-10,"2021-01-05","Thailand","Chiang Mai","San Pa Tong"
99.0500033584064,18.9499993570783,0.0193437449634075,8.89691709193841e-10,1.44299523441305e-08,1.27867064159126e-10,"2021-04-02","Thailand","Chiang Mai","San Sai"
99.0500033584064,18.7499993638637,0.0235779974609613,1.2566832019445e-09,1.87189979072855e-08,1.52860432645063e-10,"2020-03-28","Thailand","Chiang Mai","Saraphi"
98.6500033448401,19.4499993401146,0.0321950390934944,3.20456550184645e-09,4.87265623405619e-08,2.76337314142339e-10,"2021-05-17","Thailand","Chiang Mai","Wiang Haeng"
100.450003405889,20.1499993163655,0.0227135326713324,2.21249751852781e-09,3.64442271916232e-08,2.07856107325988e-10,"2021-09-11","Thailand","Chiang Rai","Chiang Khong"
100.250003399105,20.3499993095801,0.0278048049658537,1.20171206319242e-09,3.57328104882981e-08,1.0362648933393e-10,"2021-05-10","Thailand","Chiang Rai","Chiang Saen"
100.250003399105,20.1499993163655,0.0233467426151037,1.09027287198415e-09,2.99681808257901e-08,9.05221383962207e-11,"2021-03-28","Thailand","Chiang Rai","K. Doi Luang"
100.050003392322,20.0499993197583,0.0344631746411324,1.72981040602593e-09,4.29441513460915e-08,1.40273778703737e-10,"2021-06-02","Thailand","Chiang Rai","K. Wieng Chiang"
100.250003399105,19.8499993265437,0.0520549528300762,2.69347766312933e-09,4.04427176192712e-08,3.27080196260709e-10,"2021-01-10","Thailand","Chiang Rai","Khun Tan"
99.9500033889306,20.1499993163655,0.0184828378260136,9.26731968942107e-10,2.3724808784209e-08,7.32798266511736e-11,"2021-03-31","Thailand","Chiang Rai","Mae Chan"
99.5500033753643,20.0499993197583,0.0307706911116838,3.07521852427328e-09,4.86700351132185e-08,2.57168591977219e-10,"2021-06-02","Thailand","Chiang Rai","Mae Fa Luang"
99.6500033787559,19.7499993299364,0.0417964719235897,2.1347843492947e-09,5.38598179389282e-08,1.63633356864423e-10,"2020-11-30","Thailand","Chiang Rai","Mae Lao"
99.8500033855391,20.3499993095801,0.031917180866003,2.96563906765357e-09,5.05048340926351e-08,2.81307532823405e-10,"2021-04-02","Thailand","Chiang Rai","Mae Sai"
99.4500033719727,19.949999323151,0.0603105574846268,2.88301738038399e-09,7.72994681597083e-08,2.33789626546965e-10,"2021-06-02","Thailand","Chiang Rai","Mae Suai"
99.8500033855391,19.8499993265437,0.0662478059530258,3.09749648153002e-09,8.50365324822633e-08,2.62555088781369e-10,"2021-09-04","Thailand","Chiang Rai","Muang Chiang Rai"
99.9500033889306,19.4499993401146,0.0223739631474018,1.14478659885009e-09,1.74814385189848e-08,1.42249073631362e-10,"2021-03-31","Thailand","Chiang Rai","Pa Daet"
99.7500033821475,19.5499993367219,0.023087689653039,1.1171545910571e-09,3.32812781778102e-08,9.05922975524831e-11,"2021-08-22","Thailand","Chiang Rai","Phan"
100.150003395714,19.949999323151,0.0424389131367207,2.40342412638483e-09,3.24843725252322e-08,2.76337314142339e-10,"2021-05-11","Thailand","Chiang Rai","Phaya Mengrai"
100.350003402497,19.8499993265437,0.0263413954526186,1.20171206319242e-09,1.9490624225682e-08,1.72710817869515e-10,"2021-05-03","Thailand","Chiang Rai","Thoeng"
99.9500033889306,19.8499993265437,0.0342466793954372,1.77375358845211e-09,2.63756856355712e-08,2.16294981925103e-10,"2021-01-01","Thailand","Chiang Rai","Wiang Chai"
99.4500033719727,19.4499993401146,0.302926033735275,2.92416597602596e-08,4.71023412274008e-07,2.6252042761854e-09,"2021-05-03","Thailand","Chiang Rai","Wiang Pa Pao"
100.450003405889,19.949999323151,0.0321950390934944,3.20456550184645e-09,4.87265623405619e-08,2.76337314142339e-10,"2021-05-17","Thailand","Chiang Rai","Wieng Kaen"
101.250003433021,13.1499995538564,0.0302847102284431,8.84998963002204e-10,1.214807632266e-08,7.65785629353033e-11,"2021-09-18","Thailand","Chon Buri","Ban Bung"
101.050003426238,12.8499995640346,0.0321775041520596,8.84998963002204e-10,1.214807632266e-08,7.65785629353033e-11,"2021-09-29","Thailand","Chon Buri","Bang Lamung"
101.450003439804,13.1499995538564,0.0292682163417339,2.80399481411564e-09,4.5478124377496e-08,2.59066212926484e-10,"2021-05-04","Thailand","Chon Buri","Bo Thong"
