time,total_frp,total_cofire,total_co2fire,total_pm2p5fire,country
2021-09-17,8.15983680076897,4.30773254955774e-07,7.19895002543325e-06,3.82674032531338e-08,Vietnam
2021-09-18,3.5830598250031502,2.17267247026864e-07,3.6857263232548104e-06,1.9199340572234602e-08,Vietnam
2021-09-19,2.18428478389978,1.62839809192405e-07,2.74546523471031e-06,1.44952284897304e-08,Vietnam
2021-09-20,0.9180052988231179,7.87649077071961e-08,1.35086606256607e-06,6.99052896818708e-09,Vietnam
2021-09-21,0.26120562851429,1.43812337594085e-08,2.59968835791824e-07,1.26901622543585e-09,Vietnam
2021-09-22,0.446699485182762,1.17262363152904e-08,1.67643454673794e-07,1.07209992272761e-09,Vietnam
2021-09-23,0.24795607477426504,6.6374923335388295e-09,9.23253811180302e-08,6.01688726620253e-10,Vietnam
2021-09-24,0.0,0.0,0.0,0.0,Vietnam
2021-09-25,0.0,0.0,0.0,0.0,Vietnam
2021-09-26,0.8877205774188041,3.53999586311105e-08,5.345153688551821e-07,3.2928783241792397e-09,Vietnam
2021-09-27,1.73001411557198,7.25699165760041e-08,1.21966685817654e-06,6.4654188461355005e-09,Vietnam
2021-09-28,0.83472235314548,6.96936680588678e-08,1.16621533496897e-06,6.25756283248458e-09,Vietnam
2021-09-29,2.6801969110965698,1.44033582172298e-07,2.2571125946058104e-06,1.32590316469228e-08,Vietnam
2021-09-30,0.592444662004709,4.88961929834275e-08,7.799064949409741e-07,4.36497820527348e-09,Vietnam
2021-10-01,0.21292299224576897,6.94504165443174e-09,1.34703125280244e-07,5.94984762055936e-10,Cambodia
2021-10-02,0.08364831838227,2.2242290265827203e-09,3.2211616914844e-08,1.99686666717408e-10,Cambodia
2021-10-03,0.0,0.0,0.0,0.0,Cambodia
2021-10-01,0.0,0.0,0.0,0.0,Laos
2021-10-02,0.0,0.0,0.0,0.0,Laos
2021-10-03,0.0266153740307224,2.5873684594943103e-09,4.19727129496382e-08,2.32288571487608e-10,Laos
2021-10-01,0.08364831838227,7.308181087343121e-09,1.1615704281412e-07,6.84640000173986e-10,Myanmar
2021-10-02,0.35360425497958703,3.0730674510133905e-08,5.03672555395651e-07,2.8322904769103104e-09,Myanmar
2021-10-03,0.0258549347726991,2.45119117215252e-09,4.0020493742682e-08,2.20062857198796e-10,Myanmar
2021-10-01,0.8364831838226859,2.47842662962068e-08,4.1582269108250296e-07,2.1639514291213395e-09,Thailand
2021-10-02,0.528505284324318,1.73399079215213e-08,2.85024004216192e-07,1.5282142861026001e-09,Thailand
2021-10-03,0.0243340562566594,1.13481072784836e-09,3.12355073113591e-08,9.3730476214285e-11,Thailand
2021-10-01,3.04936142466273,2.0453828558739101e-07,3.27972826769258e-06,1.8301894290365703e-08,Vietnam
2021-10-02,1.14217976554698,1.00226483483569e-07,1.60765251693146e-06,8.99812571657258e-09,Vietnam
2021-10-03,2.60070226243055,1.50521294941807e-07,2.47736617363212e-06,1.33912323843557e-08,Vietnam
2021-08-01,0.191298000514507,6.3305425346271704e-09,1.1648447717505e-07,5.43553771437111e-10,Cambodia
2021-08-02,0.0,0.0,0.0,0.0,Cambodia
2021-08-03,0.0,0.0,0.0,0.0,Cambodia
2021-08-04,0.0659648254513741,6.330542312582571e-09,1.05390718374565e-07,5.888499132744579e-10,Cambodia
2021-08-05,0.7421043217182159,2.12259364529288e-08,3.3281278710717304e-07,1.90243820696878e-09,Cambodia
2021-08-06,0.161613829433918,5.5857727332409e-09,1.10937595110272e-07,4.5296147388462797e-10,Cambodia
2021-08-07,0.808069141581655,5.3623419038473204e-08,8.98594533893515e-07,4.80139156905368e-09,Cambodia
2021-08-08,0.781683208420873,5.7347267601315406e-08,9.81797731114398e-07,5.16376079395808e-09,Cambodia
2021-08-09,0.11873668991029301,6.702927324298e-09,1.0539071659820802e-07,5.888499132744579e-10,Cambodia
2021-08-10,0.709121892228723,4.05899500677265e-08,6.82266214191429e-07,3.5783956076063106e-09,Cambodia
2021-08-11,0.270455792546272,2.1970707031471203e-08,3.9937534523915e-07,1.9477343071727697e-09,Cambodia
2021-08-12,0.352911822497845,2.9790788280692498e-08,5.26953591872825e-07,2.7177688433077696e-09,Cambodia
2021-08-13,0.0,0.0,0.0,0.0,Cambodia
2021-08-14,0.22098216414451602,2.15983213536219e-08,3.43906549460371e-07,1.90243820696878e-09,Cambodia
2021-08-15,0.22098216414451602,2.15983213536219e-08,3.43906549460371e-07,1.90243820696878e-09,Cambodia
2021-08-16,0.135227896273136,8.937236617434509e-09,1.33125118040311e-07,7.70034508379425e-10,Cambodia
2021-08-17,0.31663116440177,3.0907942871749596e-08,4.93672310142301e-07,2.7630650267784802e-09,Cambodia
2021-08-18,0.0395788960158825,4.09623357455757e-09,6.10156831726272e-08,3.62369190209932e-10,Cambodia
2021-08-19,0.257262825965881,1.1916315489912701e-08,2.0523455290799601e-07,1.0418114010368698e-09,Cambodia
2021-08-20,0.0428771376609802,1.1171545910571002e-09,1.6640639088905098e-08,9.05922975524831e-11,Cambodia
2021-08-21,0.122034929692745,8.19246681604824e-09,1.33125115819865e-07,7.70034508379425e-10,Cambodia
2021-08-22,0.17810503393411603,1.00543910974693e-08,1.60859524811485e-07,9.05922961647043e-10,Cambodia
2021-08-23,0.9367005676031109,4.46861807557042e-08,1.20367295863844e-06,3.57839563536189e-09,Cambodia
2021-08-24,0.260561063885689,1.3405854870640602e-08,2.6625023608062303e-07,1.0871075289964299e-09,Cambodia
2021-08-25,0.105543725192547,1.00543910974693e-08,1.66406394441765e-07,9.05922947769255e-10,Cambodia
2021-08-26,0.0890525132417679,8.564851938785981e-09,1.38671992999662e-07,7.70034480623849e-10,Cambodia
2021-08-27,0.0890525132417679,8.564851938785981e-09,1.38671992999662e-07,7.70034480623849e-10,Cambodia
